Year,Dwelling number,Dwelling type
2002,6750,House/Townhouse
2003,6872,House/Townhouse
2004,7106,House/Townhouse
2005,7198,House/Townhouse
2006,7233,House/Townhouse
2007,7662,House/Townhouse
2008,8933,House/Townhouse
2009,9093,House/Townhouse
2010,9147,House/Townhouse
2011,9304,House/Townhouse
2012,9565,House/Townhouse
2013,9612,House/Townhouse
2014,9744,House/Townhouse
2015,9758,House/Townhouse
2016,9843,House/Townhouse
2017,9853,House/Townhouse
2018,9922,House/Townhouse
2019,9942,House/Townhouse
2020,10054,House/Townhouse
2021,10066,House/Townhouse
2002,21725,Residential Apartments
2003,23412,Residential Apartments
2004,25211,Residential Apartments
2005,28364,Residential Apartments
2006,31242,Residential Apartments
2007,32895,Residential Apartments
2008,35197,Residential Apartments
2009,36453,Residential Apartments
2010,37270,Residential Apartments
2011,39240,Residential Apartments
2012,39913,Residential Apartments
2013,43694,Residential Apartments
2014,46630,Residential Apartments
2015,52437,Residential Apartments
2016,55732,Residential Apartments
2017,61371,Residential Apartments
2018,67444,Residential Apartments
2019,73624,Residential Apartments
2020,78882,Residential Apartments
2021,86781,Residential Apartments
2002,2050,Student Apartments
2003,2444,Student Apartments
2004,2713,Student Apartments
2005,3566,Student Apartments
2006,3575,Student Apartments
2007,4414,Student Apartments
2008,4267,Student Apartments
2009,4877,Student Apartments
2010,4875,Student Apartments
2011,4873,Student Apartments
2012,5438,Student Apartments
2013,5399,Student Apartments
2014,5702,Student Apartments
2015,5834,Student Apartments
2016,5504,Student Apartments
2017,5522,Student Apartments
2018,5521,Student Apartments
2019,5508,Student Apartments
2020,5486,Student Apartments
2021,5484,Student Apartments
